original	selected	orbit_size	selected_index	used_for_strict
OX-OO-XX----O--OXXX-O-X-OXXOOO-XO-XOOXOOXX--X-XOXOOOX-OOOXOX-O-X	OO-XX-OXX--X-----O-X-OOOO-XXXOOXXXOXXO-XXO-O--OOXX-OXXXOO-X-OXOX	16	14	false
OXOXOXOO--XOOO-OXO--OX-O---OOO-OXX-XXO-OX--O-XXX----XOX--OXXO---	--XOOOOO-XX----O-OXOOXOXOX-XOOOOX-OXO-OXX-----XOO--X-O-X--XX-X-O	16	7	false
X-XX-XXOO--OX--O--XOO--O-OXOXXOOOXOOXOO-X-O-XOOOXXXXO--OO------O	OX--XOOX---XO-O-O-OOXXO-OXXXX-O--OXOOOX-O--OXX--O--XXX--XXXX-XXX	16	14	false
XOX-XX-X----XXOXXOXXOX--OOXXOOOO---XX-XX-OX-X-X--O--XXOXOX-XOX--	OO-XO-O--X-XOOX-OOOX--OOOOXXOOOX--OOO--OO-OO-O--X-XX-XXOO-OX---X	16	11	false
OO-O--XO-XXO-OOXOO---XOOOXOXO-OOX-OXOOOXXO-O-XXO---OX--OX-XXXXX-	-OOOOO-OX--OX---XOO-X-XOOXXXOX-OXX-XOXOXXXO---XXOXX-XOO-XO--X-XX	16	15	false
OX-OOO-O-X-O-XXXX-O-OXXOOXOXOO--O-XOXX-OXOO-O-XOX-OXX--OOXO---O-	O-OOO-XOXXX-O-X-OXXO-O-X--OOXOXOO-XXOX-OOX-O-OOXO--XXO-X-O---OXO	16	6	false
O--X-X-XOXXOOXX--OOXOXXXOXOOXOOXX-XOOOXO-O-XOX-X-OOO--XOX--O-OX-	-OX-X--OXO--XXX-O-OXO-X-XOXXXO-OOXXOXXOXOOOXOXX--OOXXOOXO-O-O--X	16	10	false
-OXX---XXXX-OOOXXO-OOXX-X-XOXOXOX--XX--OXOXXXOX-OO-XXXOXOO--OO--	-OXX---XXXX-OOOXXO-OOXX-X-XOXOXOX--XX--OXOXXXOX-OO-XXXOXOO--OO--	16	1	false
XOX--X-XOO---XOXXX-XOX-----XO-O-O--OXO-XOX-X--X-XXX---OOOOOX--O-	OOOX--O-XXX---OOOX-X--X-O--OXO-X---XO-O-XX-XOX--OO---XOXXOX--X-X	16	12	false
OOXOOXXX-OOX-XX----OOOOOOOOXO--XX--XO-OXX-X-O--X-X-OO-XOOO--OX--	O--OXX-OOO-O--XOXO-O-X--OXOXX-O-O-OOOOOOXXO----XXXO-O-X-X-OXXXO-	16	8	false
XXXOXOXXXOXO-OXXOXOXXO-XX-OXOXO-XOXOOX-OOOXOO-OXX-OOXOXX-OXO-OO-	-OXO-OO-X-OOXOXXOOXOO-OXXOXOOX-OX-OXOXO-OXOXXO-XXOXO-OXXXXXOXOXX	16	12	false
XXOXXXXOOO--XOOX---X-OOOOOXOOOOXOOXXOXOOOXX-OX-XXO-OO--XX-OXOX-X	OOOXOXOX---XXXXOO-OOXXXOXXXXX-OOOX-OXO-OX-OOO--X-XOXX-XOOOXXX-XO	16	6	false
OXOXOX-O-O-X--XOXXO-O-OXX--OXO---X-OO-XOOXXO-XO-X-OX--XXX-O-X--X	O-X-O--OO-XO--OOXOOX-OX--O-XX-OXO--XOX--OOX-X-XO-X-O--OXXOXOXO-X	16	11	false
XO--OX-X-OXOOO---XXOO-OXX-OXXOOXOOOOO-X-O---XOXXOO-XXOX-XXOOO--X	X-XO--OX--OOOXO-XO-OOXX-XOOXXO-X-X-OOOOOXXOX---O-XOXX-OOX--OOOXX	16	15	false
OO-XOXX-X----X-O-XOOO-OOXOOOX-XOX-OXXX-O-XXXOXXOO-OO-OOXXX-X----	-XXXXXO-O-XO-OX-OO--OOX-X-XOOX--O-XXOOXO--XXXOX-X-OX-O-OXO-OO-XO	16	8	false
O-XO-O-OOXOO-OX-X--X-X-XXO-OO-XX-XOXXOXO-OXOXO---OX-XXOOXOO-XX--	X-X-XO-X-OX-XXOXO-O-O--OOO-XX-XOXOXOOXO---XOXOX-XXOO-OX---OO-XXO	16	9	false
-O-OOOXOXO---OO-OX-XOO----XXX-XOXX-OOX-OOXOXXXXXXOOO-X-XXOXOO-O-	-O-OOOXOXO---OO-OX-XOO----XXX-XOXX-OOX-OOXOXXXXXXOOO-X-XXOXOO-O-	16	1	false
OXXOX--XOO-X-O-XX-X-X-XOOOOXXOOO-OXOXXO--XO-XO-XXX-OOO-XOXOO-X--	XOOXO--OXX-O-X-OO-O-O-OXXXXOOXXX-XOXOOX--OX-OX-OOO-XXX-OXOXX-O--	16	2	false
OX-X-X-X-XOX-X-XOO-----XXO-XXOX-XX-XOO--X--X-O-OXO-OXXO-OXO-X--X	X-XOOOOXOOXXO-XO-X-----XOO-OOOX----OX-OOOO-XXXO----O--X-OOO--X-O	16	4	false
